"(15, 0.4)","(89.76130279942785, 11419, 6571, 8, 7)"
"(15, 0.5)","(87.95140763032715, 10301, 6555, 8, 7)"
"(15, 0.6)","(109.80667953047114, 10365, 6907, 8, 7)"
"(15, 0.7)","(89.06530635771514, 11566, 6255, 8, 7)"
"(15, 0.8)","(104.27748090422736, 10779, 7075, 8, 7)"
"(15, 0.9)","(97.34015422631221, 11736, 6835, 8, 7)"
"(15, 1)","(91.59283899862963, 9973, 6743, 8, 7)"
"(16, 0.4)","(84.32340602284528, 11235, 6666, 8, 7)"
"(16, 0.5)","(98.63218853328343, 10686, 6826, 8, 7)"
"(16, 0.6)","(88.76706053444828, 11002, 6690, 8, 7)"
"(16, 0.7)","(87.54655522665274, 11486, 6696, 8, 7)"
"(16, 0.8)","(97.6271577812785, 12061, 6466, 8, 7)"
"(16, 0.9)","(96.65349283967866, 11452, 6473, 8, 7)"
"(16, 1)","(97.1522448657188, 10550, 6564, 8, 7)"
"(17, 0.4)","(97.40784512068336, 11863, 6988, 8, 7)"
"(17, 0.5)","(96.7823810452418, 10256, 6697, 8, 7)"
"(17, 0.6)","(88.46107013457556, 10304, 6696, 8, 7)"
"(17, 0.7)","(93.84862212323682, 11225, 6691, 8, 7)"
"(17, 0.8)","(73.44881441885966, 9728, 6886, 8, 7)"
"(17, 0.9)","(103.67613683771381, 11186, 6763, 8, 7)"
"(17, 1)","(93.51425213091879, 10989, 6689, 8, 7)"
"(18, 0.4)","(88.91847594326504, 10787, 6771, 8, 7)"
"(18, 0.5)","(101.21480077745385, 10290, 6751, 8, 7)"
"(18, 0.6)","(92.15008882866607, 11070, 7020, 8, 7)"
"(18, 0.7)","(102.63955478983783, 12189, 6896, 8, 7)"
"(18, 0.8)","(91.7522356638795, 11242, 7188, 8, 7)"
"(18, 0.9)","(87.35239543959928, 10847, 6744, 8, 7)"
"(18, 1)","(96.92437722986749, 10464, 6755, 8, 7)"
"(19, 0.4)","(91.65574440551715, 10561, 6680, 8, 7)"
"(19, 0.5)","(97.60744208277103, 11856, 7030, 8, 7)"
"(19, 0.6)","(89.97355329949238, 10835, 7085, 8, 7)"
"(19, 0.7)","(91.37095422308188, 9823, 6628, 8, 7)"
"(19, 0.8)","(90.66840352231466, 11659, 6936, 8, 7)"
"(19, 0.9)","(100.26771258149536, 12015, 7061, 8, 7)"
"(19, 1)","(90.85067112225006, 11970, 7457, 8, 7)"
"(20, 0.4)","(90.8286822817081, 10460, 6820, 8, 7)"
"(20, 0.5)","(97.262076828895, 10890, 7162, 8, 7)"
"(20, 0.6)","(98.6107336008374, 11464, 6838, 8, 7)"
"(20, 0.7)","(93.08635271504085, 10405, 6781, 8, 7)"
"(20, 0.8)","(84.01521505900712, 10253, 7146, 8, 7)"
"(20, 0.9)","(79.94686682853941, 10708, 6781, 8, 7)"
"(20, 1)","(102.23401575973833, 11210, 7048, 8, 7)"
"(21, 0.4)","(97.24559686005594, 11083, 6852, 8, 7)"
"(21, 0.5)","(93.73124703409938, 9834, 7287, 8, 7)"
"(21, 0.6)","(100.7865068914055, 11391, 6912, 8, 7)"
"(21, 0.7)","(80.56190214906265, 10935, 7230, 8, 7)"
"(21, 0.8)","(87.12600840465016, 10867, 6899, 8, 7)"
"(21, 0.9)","(84.17903751507447, 10227, 7084, 8, 7)"
"(21, 1)","(89.87705439214874, 9646, 6777, 8, 7)"
"(22, 0.4)","(82.63189135464529, 10229, 7225, 8, 7)"
"(22, 0.5)","(86.97417981826877, 10455, 6956, 8, 7)"
"(22, 0.6)","(104.54118687834736, 10456, 7180, 8, 7)"
"(22, 0.7)","(94.15811338761146, 11177, 7254, 8, 7)"
"(22, 0.8)","(94.52156017187548, 10783, 7337, 8, 7)"
"(22, 0.9)","(86.44857208527266, 11602, 7096, 8, 7)"
"(22, 1)","(93.14560479990944, 11778, 7099, 8, 7)"
"(23, 0.4)","(96.06147218580259, 10678, 6946, 8, 7)"
"(23, 0.5)","(95.6814981004517, 11143, 7353, 8, 7)"
"(23, 0.6)","(97.73880560633759, 10940, 7453, 8, 7)"
"(23, 0.7)","(91.88126003926467, 11206, 7118, 8, 7)"
"(23, 0.8)","(104.0683949939907, 12758, 7071, 8, 7)"
"(23, 0.9)","(86.03230308937806, 12311, 7194, 8, 7)"
"(23, 1)","(87.31939523093209, 11966, 7070, 8, 7)"
"(24, 0.4)","(82.2081434441539, 10708, 7187, 8, 7)"
"(24, 0.5)","(89.7613205456905, 10531, 6854, 8, 7)"
"(24, 0.6)","(82.97173069096146, 10647, 7325, 8, 7)"
"(24, 0.7)","(106.82714436281348, 10753, 7347, 8, 7)"
"(24, 0.8)","(77.27366363050879, 10869, 7200, 8, 7)"
"(24, 0.9)","(97.93646027933458, 11241, 7127, 8, 7)"
"(24, 1)","(89.18933461292386, 10420, 7036, 8, 7)"
"(25, 0.4)","(89.52612968405585, 10888, 7066, 8, 7)"
"(25, 0.5)","(105.48587912566403, 11483, 7647, 8, 7)"
"(25, 0.6)","(83.49492134274743, 10764, 7190, 8, 7)"
"(25, 0.7)","(92.55221308264787, 9361, 7370, 8, 7)"
"(25, 0.8)","(92.81061028932923, 10749, 6918, 8, 7)"
"(25, 0.9)","(82.26034051558291, 10396, 7278, 8, 7)"
"(25, 1)","(87.82891292996541, 10214, 7254, 8, 7)"
"(26, 0.4)","(88.20054703476482, 9780, 7203, 8, 7)"
"(26, 0.5)","(93.83632232656771, 9903, 7303, 8, 7)"
"(26, 0.6)","(90.43587661808341, 10223, 7353, 8, 7)"
"(26, 0.7)","(90.60471500354511, 10813, 7194, 8, 7)"
"(26, 0.8)","(102.55187246321664, 10512, 7242, 8, 7)"
"(26, 0.9)","(96.95073658365486, 11404, 7008, 8, 7)"
"(26, 1)","(95.11405540628185, 10793, 7180, 8, 7)"
"(27, 0.4)","(95.79607676577001, 10595, 7214, 8, 7)"
"(27, 0.5)","(87.92489569711688, 10706, 7406, 8, 7)"
"(27, 0.6)","(90.0639125553134, 10094, 7167, 8, 7)"
"(27, 0.7)","(96.14504485016296, 11557, 7518, 8, 7)"
"(27, 0.8)","(91.67246176160337, 10112, 7090, 8, 7)"
"(27, 0.9)","(91.24783151280245, 11352, 7179, 8, 7)"
"(27, 1)","(87.88851282994574, 10873, 7095, 8, 7)"
"(28, 0.4)","(73.83771729412933, 10067, 7379, 8, 7)"
"(28, 0.5)","(91.57081611735691, 10407, 7253, 8, 7)"
"(28, 0.6)","(90.43192082014768, 10112, 7489, 8, 7)"
"(28, 0.7)","(88.68605867310289, 11601, 7032, 8, 7)"
"(28, 0.8)","(101.75751010693793, 10224, 7451, 8, 7)"
"(28, 0.9)","(90.89490530676662, 10138, 7274, 8, 7)"
"(28, 1)","(93.45544300631526, 10662, 7320, 8, 7)"
"(29, 0.4)","(95.03197923406353, 10819, 7424, 8, 7)"
"(29, 0.5)","(94.40951054631967, 11489, 7538, 8, 7)"
"(29, 0.6)","(83.43757190298287, 11242, 7420, 8, 7)"
"(29, 0.7)","(93.26957556755501, 11482, 7280, 8, 7)"
"(29, 0.8)","(94.50417171623008, 10727, 7305, 8, 7)"
"(29, 0.9)","(92.44695413436692, 10320, 7220, 8, 7)"
"(29, 1)","(92.85159256425516, 11763, 7491, 8, 7)"
"(30, 0.4)","(87.95426731744982, 12088, 7404, 8, 7)"
"(30, 0.5)","(103.24299974513636, 11771, 7423, 8, 7)"
"(30, 0.6)","(75.33663490471415, 9970, 7356, 8, 7)"
"(30, 0.7)","(91.95841922884915, 11351, 7603, 8, 7)"
"(30, 0.8)","(80.01350817316329, 11134, 7353, 8, 7)"
"(30, 0.9)","(100.96698409846375, 11131, 7493, 8, 7)"
"(30, 1)","(94.6113349368611, 9978, 7688, 8, 7)"
